geo_code,population,population_density_div10K,male,young,middle_age,drinking_age,population_age_avg_div100,single,family_size_avg_div10,market_income_avg_div100K,East_Asian,Southeast_Asian,West_Asian,Black,Latin_American,Aboriginal,dwelling_ownership,dwelling_value_avg_div1M,rent_price_avg_div_1K,secondary_education,postsecondary_education,in_labor_force_pct,Unemployment_rate
59150253,10980,0.49,0.48,0.15,0.22,0.59,0.42,0.40,0.31,0.37,0.19,0.12,0.23,0.02,0.01,0.02,0.87,0.53,1.02,0.32,0.52,0.65,0.06
59150255,12265,0.21,0.49,0.26,0.25,0.65,0.33,0.39,0.3,0.47,0.12,0.07,0.12,0.03,0.02,0.05,0.69,0.66,1.27,0.33,0.55,0.79,0.04
59150264,40,0.01,0.38,0.13,0.13,0.63,0.40,0.50,0.23,NULL,0.00,0.00,0.00,0.00,0.00,0.75,1.00,NULL,NULL,0.25,0.25,0.50,0.00
59150272,6990,0.11,0.48,0.11,0.16,0.54,0.48,0.35,0.27,0.59,0.05,0.01,0.01,0.01,0.00,0.03,0.76,1.14,1.25,0.16,0.61,0.58,0.04
59150273,14035,0.22,0.51,0.24,0.25,0.64,0.35,0.38,0.32,0.40,0.07,0.10,0.55,0.02,0.02,0.01,0.78,0.73,1.08,0.29,0.52,0.71,0.06
59150275,8940,0.58,0.49,0.20,0.29,0.63,0.34,0.32,0.31,0.50,0.10,0.12,0.25,0.02,0.02,0.03,0.86,0.56,1.23,0.27,0.61,0.77,0.05
59150276,18220,0.12,0.49,0.23,0.25,0.64,0.34,0.34,0.31,0.49,0.11,0.06,0.10,0.01,0.02,0.03,0.82,0.69,1.41,0.31,0.59,0.72,0.05
59150278,9435,0.01,0.49,0.16,0.20,0.60,0.41,0.36,0.3,0.55,0.05,0.02,0.04,0.01,0.01,0.04,0.83,1.08,1.31,0.33,0.54,0.69,0.04
59150287,6115,0.20,0.49,0.11,0.19,0.57,0.44,0.30,0.29,0.65,0.12,0.01,0.04,0.00,0.00,0.03,0.90,1.43,1.67,0.13,0.65,0.60,0.05
59150289,9605,0.02,0.49,0.15,0.16,0.56,0.46,0.38,0.29,0.48,0.03,0.01,0.03,0.01,0.00,0.04,0.79,0.93,1.44,0.33,0.50,0.63,0.04
59150299,9375,0.35,0.44,0.10,0.13,0.56,0.55,0.48,0.25,0.53,0.08,0.01,0.06,0.01,0.01,0.03,0.69,0.89,1.21,0.29,0.60,0.51,0.06
